restitution_center,month,year,resident_pop_month_start,resident_pop_month_end,resident_capacity
GREENWOOD RESTITUTION CENTER,December,2014,53,54,NaN
HINDS RESTITUTION CENTER,December,2014,47,48,NaN
FLOWOOD RESTITUTION CENTER,December,2014,42,44,NaN
PASCAGOULA RESTITUTION CENTER,December,2014,61,70,NaN
GREENWOOD RESTITUTION CENTER,January,2015,54,48,NaN
HINDS RESTITUTION CENTER,January,2015,48,41,NaN
FLOWOOD RESTITUTION CENTER,January,2015,44,42,NaN
PASCAGOULA RESTITUTION CENTER,January,2015,70,76,NaN
GREENWOOD RESTITUTION CENTER,February,2015,48,47,NaN
HINDS RESTITUTION CENTER,February,2015,41,34,NaN
FLOWOOD RESTITUTION CENTER,February,2015,42,36,NaN
PASCAGOULA RESTITUTION CENTER,February,2015,76,76,NaN
GREENWOOD RESTITUTION CENTER,March,2015,47,51,NaN
HINDS RESTITUTION CENTER,March,2015,34,36,NaN
FLOWOOD RESTITUTION CENTER,March,2015,36,39,NaN
PASCAGOULA RESTITUTION CENTER,March,2015,76,74,NaN
GREENWOOD RESTITUTION CENTER,April,2015,51,56,NaN
HINDS RESTITUTION CENTER,April,2015,36,28,NaN
FLOWOOD RESTITUTION CENTER,April,2015,39,34,NaN
PASCAGOULA RESTITUTION CENTER,April,2015,74,66,NaN
GREENWOOD RESTITUTION CENTER,May,2015,56,55,NaN
HINDS RESTITUTION CENTER,May,2015,28,31,NaN
FLOWOOD RESTITUTION CENTER,May,2015,34,39,NaN
PASCAGOULA RESTITUTION CENTER,May,2015,66,66,NaN
GREENWOOD RESTITUTION CENTER,June,2015,55,55,NaN
HINDS RESTITUTION CENTER,June,2015,31,31,NaN
FLOWOOD RESTITUTION CENTER,June,2015,39,36,NaN
PASCAGOULA RESTITUTION CENTER,June,2015,66,76,NaN
GREENWOOD RESTITUTION CENTER,July,2015,55,59,NaN
HINDS RESTITUTION CENTER,July,2015,31,45,NaN
FLOWOOD RESTITUTION CENTER,July,2015,36,35,NaN
PASCAGOULA RESTITUTION CENTER,July,2015,76,73,NaN
GREENWOOD RESTITUTION CENTER,August,2015,60,69,NaN
HINDS RESTITUTION CENTER,August,2015,45,43,NaN
FLOWOOD RESTITUTION CENTER,August,2015,35,30,NaN
PASCAGOULA RESTITUTION CENTER,August,2015,73,72,NaN
GREENWOOD RESTITUTION CENTER,September,2015,69,54,NaN
HINDS RESTITUTION CENTER,September,2015,43,59,NaN
FLOWOOD RESTITUTION CENTER,September,2015,30,27,NaN
PASCAGOULA RESTITUTION CENTER,September,2015,72,76,NaN
GREENWOOD RESTITUTION CENTER,October,2015,54,49,NaN
HINDS RESTITUTION CENTER,October,2015,59,72,NaN
FLOWOOD RESTITUTION CENTER,October,2015,28,23,NaN
PASCAGOULA RESTITUTION CENTER,October,2015,76,69,NaN
GREENWOOD RESTITUTION CENTER,November,2015,49,50,NaN
HINDS RESTITUTION CENTER,November,2015,72,62,NaN
FLOWOOD RESTITUTION CENTER,November,2015,23,28,NaN
PASCAGOULA RESTITUTION CENTER,November,2015,69,70,NaN
GREENWOOD RESTITUTION CENTER,December,2015,50,58,NaN
HINDS RESTITUTION CENTER,December,2015,62,58,NaN
FLOWOOD RESTITUTION CENTER,December,2015,27,27,NaN
PASCAGOULA RESTITUTION CENTER,December,2015,70,72,NaN
GREENWOOD RESTITUTION CENTER,January,2016,58,47,NaN
HINDS RESTITUTION CENTER,January,2016,58,66,NaN
